her_name,list_name,list_pos,bloc_name,bloc_start,bloc_end,bloc2_name,bloc2_start,bloc2_end,education,education_year,pol_history,session
Leila Ouled Ali,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2017-04-20,Bloc National,2017-05-20,NA,Maitrise en sciences économiques,NA,"Vive président du département d'étude et de planification, Agence national pour la maîtrise de l'énergie (2001-2006).  Coordinatrice du comité chargé de la gestion et le suivi financier du Fonds national pour la maîtrise de l'énergie, l'Agence nationale pour la maîtrise de l'énergie en 2007 Directrice exécutive du Centre méditerranéen des énergies renouvelables (2008-2013)
 Directrice générale des affaires de la femme et de la famille, ministère de la femme, de la famille, de l'enfance et des personnes âgées (2010)  Coordinatrice national du projet de l'emploi vert, Nations Unies (UNOPS) 2014",Première session parlementaire
Leila Ouled Ali,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2017-04-20,Bloc National,2017-05-20,NA,Diplôme d'études approfondies en direction de projets,NA,"Vive président du département d'étude et de planification, Agence national pour la maîtrise de l'énergie (2001-2006).  Coordinatrice du comité chargé de la gestion et le suivi financier du Fonds national pour la maîtrise de l'énergie, l'Agence nationale pour la maîtrise de l'énergie en 2007 Directrice exécutive du Centre méditerranéen des énergies renouvelables (2008-2013)
 Directrice générale des affaires de la femme et de la famille, ministère de la femme, de la famille, de l'enfance et des personnes âgées (2010)  Coordinatrice national du projet de l'emploi vert, Nations Unies (UNOPS) 2014",Première session parlementaire
Leila Ouled Ali,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2017-04-20,Bloc National,2017-05-20,NA,Certificat de l'Institut de Défense Nationale,NA,"Vive président du département d'étude et de planification, Agence national pour la maîtrise de l'énergie (2001-2006).  Coordinatrice du comité chargé de la gestion et le suivi financier du Fonds national pour la maîtrise de l'énergie, l'Agence nationale pour la maîtrise de l'énergie en 2007 Directrice exécutive du Centre méditerranéen des énergies renouvelables (2008-2013)
 Directrice générale des affaires de la femme et de la famille, ministère de la femme, de la famille, de l'enfance et des personnes âgées (2010)  Coordinatrice national du projet de l'emploi vert, Nations Unies (UNOPS) 2014",Première session parlementaire
Imed Ouled Jebril,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Master en sciences culturelles spécialité théâtre et arts scéniques,NA,,Première session parlementaire
Mongi Rahoui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Maitrise en comptabilité de l’Institut des Hautes Etudes Commerciales de Carthage,NA,A travaillé à la Banque Nationale Agricole,Première session parlementaire
Mongi Rahoui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Master en ingénierie financière de l'Institut Supérieur de Commerce de Tunis,NA,A travaillé à la Banque Nationale Agricole,Première session parlementaire
Mongi Rahoui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Diplôme d'études de comptabilité et gestion de l'Université de Marseille,NA,A travaillé à la Banque Nationale Agricole,Première session parlementaire
Mongi Rahoui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Diplôme d'études supérieures de l'Institut des Techniques Bancaires de Paris,NA,A travaillé à la Banque Nationale Agricole,Première session parlementaire
Mongi Rahoui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Diplôme supérieur de comptabilité et gestion à Marseille,NA,A travaillé à la Banque Nationale Agricole,Première session parlementaire
Mongi Rahoui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Diplôme d'études supérieures en techniques comptables de l'Institut National des Techniques Economiques et Comptables de Paris,NA,A travaillé à la Banque Nationale Agricole,Première session parlementaire
Zouhair Rejbi,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme en technique économique de gestion au lycée technique du Kef (1979),1979,"Chef de département comptabilité dans une compagnie minière (1984 - 1986) Chef de département des souscripteurs à la SONEDE (1986 - 1991) Chef comptable chez la société El habib (2006 - 2011) Chef de service administratif, financier et juridique à la SONEDE depuis 2011",Première session parlementaire
Zouhair Rejbi,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme universitaire en études comptables de l'Institut Supérieur de Gestion de Tunis (1983),1983,"Chef de département comptabilité dans une compagnie minière (1984 - 1986) Chef de département des souscripteurs à la SONEDE (1986 - 1991) Chef comptable chez la société El habib (2006 - 2011) Chef de service administratif, financier et juridique à la SONEDE depuis 2011",Première session parlementaire
Najla Saadaoui,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,NA, ,Première session parlementaire
Najla Saadaoui,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,NA, ,Première session parlementaire
Najla Saadaoui,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,NA, ,Première session parlementaire
Mohamed Saidane,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Baccalauréat en sciences et mathématiques au lycée secondaire 2 Mars 1934 à Ksar Helal (1980),2,Chef de département dans une société privée franco-tunisienne (1984) Chef de département dans une socéiété privée en France (1985) Directeur commercial d'une société privée franco-tunisienne en Tunisie (1986) Directeur général d'une société privée en Tunisie (1992) Mandataire d'une société privée (2000),Première session parlementaire
